perfume,ingredient_id,ingredient,greek,membership,membership_note,claim_id,place,evidence,cite,note,route,point_source,pleiades_id,pleiades_title,pleiades_uri,lat,lon
nardinon,myrrh,myrrh,σμύρνα,member,Role in nardinon: fragrance (Dsc 1.62). Ingredient-level claim reused from the project dataset.,myrrh-trog,Troglodytic coast,attested-ancient,"Dioscorides, De materia medica 1.64; Pliny, Naturalis historia 12.69–70",Both traditions rank a Troglodytic grade highly; Pliny makes it the first grade.,redsea,project-plot,39435,Trogodytice,https://pleiades.stoa.org/places/39435,16.2,39.1
nardinon,myrrh,myrrh,σμύρνα,member,Role in nardinon: fragrance (Dsc 1.62). Ingredient-level claim reused from the project dataset.,myrrh-arabia,South Arabia,attested-ancient,"Dioscorides, De materia medica 1.64; Pliny, Naturalis historia 12.66, 12.69–70","Arabian claim. Pliny’s grade names include Minaean, Atramitic, Gebbanitic, Ausaritis, Dianitis, Sambracena, Dusaritis, and Mesalum; their precise point locations are not invented here. [Pleiades match: generic 'South Arabia'; Saba is the nearest Pleiades region (cf. Minaei, 39386)]",incense,project-plot,39417,Saba,https://pleiades.stoa.org/places/39417,15.4,44.2
nardinon,balsam,balsam fruit / balsam seed,καρπὸς βαλσάμου / καρποβάλσαμον,member,Role in nardinon: fragrance (Dsc 1.62). Ingredient-level claim reused from the project dataset.,balsam-judaea,Judaea,attested-ancient,"Pliny, Naturalis historia 12.111–123",Pliny says balsam was granted to Judaea alone and describes two royal gardens. He does not name En Gedi in this passage.,incense,project-plot,687934,Iudaea (region),https://pleiades.stoa.org/places/687934,31.3,35
nardinon,balsam,balsam fruit / balsam seed,καρπὸς βαλσάμου / καρποβάλσαμον,member,Role in nardinon: fragrance (Dsc 1.62). Ingredient-level claim reused from the project dataset.,balsam-jericho,Jericho,attested-ancient,"Josephus, Bellum Judaicum 4.469","Josephus names Jericho as a producer of opobalsam, alongside henna and myrobalanos.",incense,project-plot,687917,Jericho,https://pleiades.stoa.org/places/687917,31.87,35.44
nardinon,nardos,spikenard,νάρδος,member,Composition per Dioscorides 1.62; simple not yet in the project dataset — compiled for this export.,nardinon-nardos-50004,India,attested-ancient,"Dioscorides, De materia medica 1.7 (Indian nard; the 'Syrian' kind is named for the Syria-facing slope of the same mountain); Pliny, Naturalis historia 12.42–46",,india,pleiades-representative,50004,India,https://pleiades.stoa.org/places/50004,20.6367,79.5333
nardinon,nardos,spikenard,νάρδος,member,Composition per Dioscorides 1.62; simple not yet in the project dataset — compiled for this export.,nardinon-nardos-59822,Ganges,attested-ancient,"Dioscorides, De materia medica 1.7.2 (Gangitis nard, from the river Ganges flowing past the mountain)",,india,pleiades-representative,59822,Ganges (river),https://pleiades.stoa.org/places/59822,25.9323,83.7799
nardinon,malabathron,malabathron,μαλάβαθρον,member,Composition per Dioscorides 1.62; simple not yet in the project dataset — compiled for this export.,nardinon-malabathron-50004,India,attested-ancient,"Dioscorides, De materia medica 1.12 (grows in the Indian marshes, a leaf floating on the water); cf. Pliny, Naturalis historia 12.129",,india,pleiades-representative,50004,India,https://pleiades.stoa.org/places/50004,20.6367,79.5333
nardinon,kostos,kostos,κόστος,member,Composition per Dioscorides 1.62; simple not yet in the project dataset — compiled for this export.,nardinon-kostos-29475,Arabia,attested-ancient,"Dioscorides, De materia medica 1.16 (the Arabian, white and light, is best)",,,pleiades-representative,29475,Arabia (region),https://pleiades.stoa.org/places/29475,24.149,46.5515
nardinon,kostos,kostos,κόστος,member,Composition per Dioscorides 1.62; simple not yet in the project dataset — compiled for this export.,nardinon-kostos-59988,Patalene (Indus delta),attested-ancient,"Pliny, Naturalis historia 12.41 (the island of Patale at the mouth of the Indus)",,india,pleiades-representative,59988,Patalene,https://pleiades.stoa.org/places/59988,25.0056,68.5448
nardinon,amomon,amomon,ἄμωμον,member,Composition per Dioscorides 1.62; simple not yet in the project dataset — compiled for this export.,nardinon-amomon-874350,Armenia,attested-ancient,"Dioscorides, De materia medica 1.15 (the Armenian, golden in colour, is best)",,,pleiades-representative,874350,Armenia (region),https://pleiades.stoa.org/places/874350,38.7401,42.167
nardinon,amomon,amomon,ἄμωμον,member,Composition per Dioscorides 1.62; simple not yet in the project dataset — compiled for this export.,nardinon-amomon-903080,Media,attested-ancient,"Dioscorides, De materia medica 1.15 (the Median, from plains and watery ground, is weaker)",,,pleiades-representative,903080,Media (region),https://pleiades.stoa.org/places/903080,35.0482,48.9193
nardinon,amomon,amomon,ἄμωμον,member,Composition per Dioscorides 1.62; simple not yet in the project dataset — compiled for this export.,nardinon-amomon-857287,Pontus,attested-ancient,"Dioscorides, De materia medica 1.15 (the Pontic, yellowish and grape-cluster-like)",,,pleiades-representative,857287,Pontus,https://pleiades.stoa.org/places/857287,40.2214,37.9234
