perfume,ingredient_id,ingredient,greek,membership,membership_note,claim_id,place,evidence,cite,note,route,point_source,pleiades_id,pleiades_title,pleiades_uri,lat,lon
susinum,cassia,cassia / cassia quill or tube,κασσία / κασία / σύριγξ,substitution-register,"No witness lists cassia in susinum; it enters only through Paul of Aegina's substitution rule (7.20.8, with Galen): cassia at double weight stands in for cinnamon.",cassia-modern,South / Southeast Asia — modern correction zone,inference-modern,"Gilboa & Namdar, Radiocarbon 57.2 (2015), 265–283; Kew, Plants of the World Online","Modern scholarship moves the plausible source-zone much farther east. This is a correction register, not a forced identification of Greek κασσία with one modern species. [Pleiades match: modern botanical correction zone; no ancient place referent]",,project-plot,,,,10.4,79.6
susinum,cinnamon,cinnamon,κινάμωμον,conjectural,"In Dioscorides 1.52 the finishing-triad cinnamon is an editorial conjecture (the paradosis carries cardamom throughout); cinnamon is canonical only in Paul of Aegina's susinum, at 3 oz.",cinn-arabia,Arabia — ancient claim,attested-ancient,"Herodotus, Histories 3.111; Theophrastus, Historia plantarum 9.7.2","The Arabian claim is plotted as the ancient authors frame it, despite their own fabulous collection stories.",incense,project-plot,29475,Arabia (region),https://pleiades.stoa.org/places/29475,21.5,46
susinum,cinnamon,cinnamon,κινάμωμον,conjectural,"In Dioscorides 1.52 the finishing-triad cinnamon is an editorial conjecture (the paradosis carries cardamom throughout); cinnamon is canonical only in Paul of Aegina's susinum, at 3 oz.",cinn-trog,Ethiopia among the Troglodytes,attested-ancient,"Pliny, Naturalis historia 12.82–86",Pliny explicitly says cinnamon is not Arabian and instead grows in Ethiopia among the Troglodytes.,redsea,project-plot,39435,Trogodytice,https://pleiades.stoa.org/places/39435,13.3,40.7
susinum,cinnamon,cinnamon,κινάμωμον,conjectural,"In Dioscorides 1.52 the finishing-triad cinnamon is an editorial conjecture (the paradosis carries cardamom throughout); cinnamon is canonical only in Paul of Aegina's susinum, at 3 oz.",cinn-modern,South / Southeast Asia — modern correction zone,inference-modern,"Gilboa & Namdar, Radiocarbon 57.2 (2015), 265–283; Kew, Plants of the World Online",Archaeological review places ancient cinnamon’s source-zone in South/Southeast Asia; Kew gives Sri Lanka as the native range for true cinnamon. No Greek-to-species equation is imposed. [Pleiades match: modern botanical correction zone; no ancient place referent],,project-plot,,,,8.2,81
susinum,cardamom,cardamom,καρδάμωμον,member,,card-commagene,Commagene,attested-ancient,"Dioscorides, De materia medica 1.6",Dioscorides ranks the Commagene product among the best.,syria,project-plot,658443,Commagene,https://pleiades.stoa.org/places/658443,37.4,38.2
susinum,cardamom,cardamom,καρδάμωμον,member,,card-armenia,Armenia,attested-ancient,"Dioscorides, De materia medica 1.6",Dioscorides ranks the Armenian product among the best.,syria,project-plot,874350,Armenia (region),https://pleiades.stoa.org/places/874350,40.2,44.5
susinum,cardamom,cardamom,καρδάμωμον,member,,card-bosporus,Bosporus — textual referent unresolved,attested-ancient,"Dioscorides, De materia medica 1.6","The source says Bosporus. The point is placed approximately at the Thracian Bosporus, where the strait meets the Sea of Marmara; the passage itself does not disambiguate the toponym. [Pleiades match: textual referent unresolved]",med-sea,project-plot,520977,Bosphorus,https://pleiades.stoa.org/places/520977,41,29.1
susinum,cardamom,cardamom,καρδάμωμον,member,,card-india,India,attested-ancient,"Dioscorides, De materia medica 1.6; Theophrastus, Historia plantarum 9.7.2",Dioscorides says it also grows in India; Theophrastus reports India as one of two competing origins.,india,project-plot,50004,India,https://pleiades.stoa.org/places/50004,22.2,73.3
susinum,cardamom,cardamom,καρδάμωμον,member,,card-media,Media,attested-ancient,"Theophrastus, Historia plantarum 9.7.2; Pliny, Naturalis historia 12.50",Media is one side of Theophrastus’ reported disagreement and also appears in Pliny.,syria,project-plot,903080,Media (region),https://pleiades.stoa.org/places/903080,34.2,49.3
susinum,cardamom,cardamom,καρδάμωμον,member,,card-arabia,Arabia,attested-ancient,"Dioscorides, De materia medica 1.6; Pliny, Naturalis historia 12.50",Dioscorides says it also grows in Arabia; Pliny says it is harvested there.,incense,project-plot,29475,Arabia (region),https://pleiades.stoa.org/places/29475,24.5,47.3
susinum,kalamos,aromatic reed,κάλαμος ἀρωματικός,member,,reed-india,India,attested-ancient,"Dioscorides, De materia medica 1.18; Pliny, Naturalis historia 12.104","Dioscorides places it in India; Pliny says it is common to India, Arabia, and Syria.",india,project-plot,50004,India,https://pleiades.stoa.org/places/50004,20.2,75
susinum,kalamos,aromatic reed,κάλαμος ἀρωματικός,member,,reed-arabia,Arabia,attested-ancient,"Pliny, Naturalis historia 12.104",Pliny names Arabia among the regions of aromatic calamus.,incense,project-plot,29475,Arabia (region),https://pleiades.stoa.org/places/29475,22.2,49
susinum,kalamos,aromatic reed,κάλαμος ἀρωματικός,member,,reed-syria,Syria / Lebanon valley,attested-ancient,"Theophrastus, Historia plantarum 9.7.1; Pliny, Naturalis historia 12.104–106",The Lebanon-valley claim is explicit; Pliny says Syrian calamus surpasses all.,syria,project-plot,668288,Koile Syria/Massyas,https://pleiades.stoa.org/places/668288,34,36.1
susinum,honey,honey / Attic honey,μέλι / μέλι Ἀττικόν,member,,honey-local,Susinum workshop context — source unstated,inference-modern,"Dioscorides, De materia medica 1.52.1–4","Honey coats hands and vessels in the Susinum procedure, but no geographic origin is stated. The point marks local handling only. [Pleiades match: workshop context; conventional plotting point]",,project-plot,,,,30.45,31.8
susinum,wine,wine / fragrant wine,οἶνος / οἶνος εὐώδης,member,,wine-aegean,Aegean supply — working inference,inference-modern,"Dioscorides, De materia medica 1.52, 1.59; Paul of Aegina, Epitome 7.20.16","The recipes specify wine or fragrant wine but no origin. An Aegean supply is a working reconstruction only, routed on the conventional Mediterranean lane. [Pleiades match: working inference; conventional plotting point]",med,project-plot,,,,36.6,27
susinum,saffron,saffron / Cilician saffron,κρόκος / κρόκος Κιλίκιος,member,,saff-corycus,Corycus in Cilicia,attested-ancient,"Dioscorides, De materia medica 1.26; Paul of Aegina, Epitome 7.20.8",The Corycian grade is ranked best; Paul explicitly specifies Cilician saffron.,med,project-plot,648612,Corycus,https://pleiades.stoa.org/places/648612,36.45,34
susinum,saffron,saffron / Cilician saffron,κρόκος / κρόκος Κιλίκιος,member,,saff-lycia,Corycus near Lycia and Olympus,attested-ancient,"Dioscorides, De materia medica 1.26",A second Corycian grade associated with Lycia and Olympus in the transmitted regional ranking.,med,project-plot,638939,Korykos,https://pleiades.stoa.org/places/638939,36.2,30.2
susinum,saffron,saffron / Cilician saffron,κρόκος / κρόκος Κιλίκιος,member,,saff-aegae,Aegae in Aeolis,attested-ancient,"Dioscorides, De materia medica 1.26",A named regional grade in Dioscorides’ ranking.,med,project-plot,550404,Aegae,https://pleiades.stoa.org/places/550404,38.8,26.9
susinum,saffron,saffron / Cilician saffron,κρόκος / κρόκος Κιλίκιος,member,,saff-cyrene,Cyrene,attested-ancient,"Dioscorides, De materia medica 1.26",The Cyrenaic grade is named but ranked weaker.,med,project-plot,373778,Cyrene,https://pleiades.stoa.org/places/373778,32.82,21.86
susinum,saffron,saffron / Cilician saffron,κρόκος / κρόκος Κιλίκιος,member,,saff-sicily,Sicily,attested-ancient,"Dioscorides, De materia medica 1.26",The Sicilian grade is named but ranked weaker.,med,project-plot,462492,Sicilia (island),https://pleiades.stoa.org/places/462492,37.5,14
susinum,lily,lily,κρίνον / λείριον,member,,lily-phoenicia,Phoenicia — finished Susinum,attested-ancient,"Dioscorides, De materia medica 1.52.5","Dioscorides says Susinum made in Phoenicia is regarded as best. This is product provenance, not a claim about where lilies grew.",med,project-plot,678334,Phoenice (region),https://pleiades.stoa.org/places/678334,33.25,35.2
susinum,lily,lily,κρίνον / λείριον,member,,lily-egypt,Egypt — finished Susinum,attested-ancient,"Dioscorides, De materia medica 1.52.5","Dioscorides says Susinum made in Egypt is regarded as best. This is product provenance, not a flower-growth claim.",nile,project-plot,981503,Ancient Egypt (region),https://pleiades.stoa.org/places/981503,28.1,30
susinum,lily,lily,κρίνον / λείριον,member,,lily-local,Local flower supply — working inference,inference-modern,"Dioscorides, De materia medica 1.52.1–5","Fresh lilies are repeatedly charged into the oil, but the recipe gives no origin. A local workshop supply is plausible and deliberately dashed. [Pleiades match: working inference; conventional plotting point]",,project-plot,,,,30.9,32.2
susinum,oil,oil / another oil,ἔλαιον / ἄλλο ἔλαιον,member,,oil-local,Workshop oil — source unstated,inference-modern,"Dioscorides, De materia medica 1.52.1–5; Paul of Aegina, Epitome 7.20.8",The compound recipe says oil; the simple recipe allows balanos oil or another oil. No geographic origin is stated for the generic oil. [Pleiades match: workshop context; conventional plotting point],,project-plot,,,,30.25,31.35
susinum,water,rainwater / water,ὕδωρ ὄμβριον / ὕδωρ,member,,water-local,Workshop water — source unstated,inference-modern,"Dioscorides, De materia medica 1.52.1, 1.52.4",Rainwater is specified for soaking cardamom; geography is not. No route is drawn. [Pleiades match: workshop context; conventional plotting point],,project-plot,,,,30.1,31.65
susinum,salt,fine salt,ἅλες λεπτοί,member,,salt-local,Workshop salt — source unstated,inference-modern,"Dioscorides, De materia medica 1.52.2–3",Fine salt is sprinkled during handling; the recipe gives no origin. No route is drawn. [Pleiades match: workshop context; conventional plotting point],,project-plot,,,,30,31.95
susinum,gum,gum,κόμμι,member,,gum-local,Vessel-dressing gum — source unstated,inference-modern,"Dioscorides, De materia medica 1.52.4","Gum appears in the dressing of dry vessels, not as a separately provenanced botanical ingredient. No route is drawn. [Pleiades match: workshop context; conventional plotting point]",,project-plot,,,,30.15,32.25
susinum,karpesion,carpesium (conventional name; no taxon imposed),καρπήσιον,substitution-register,Third permitted substitute for cinnamon in Paul's susinum (7.20.8); no witness lists it as an ingredient.,karp-side,Side in Pamphylia,attested-ancient,"Galen, De antidotis 1.14 (Kühn XIV 71–72)",Galen says καρπήσιον is most abundant and cheapest at Side in Pamphylia; Paul transmits it as a Susinum substitute.,med,project-plot,639105,Side,https://pleiades.stoa.org/places/639105,36.77,31.39
